Country,Average firearms per 100 people,DerivedAverage,Average total all civilian firearms,"Population, 2005"
Djibouti,2.8,0.1,22000,16321900
Turkmenistan,3.8,0.2,180000,74032900
Bhutan,3.5,0.3,22000,8388000
Palestine,3.4,0.4,125000,30946700
Comoros,1.8,0.3,11000,3414300
Lesotho,2.7,0.6,47000,7547600
Cape Verde,5.4,1.9,9500,506800
Egypt,3.5,298.4,1900000,636700
Bolivia,2.8,32.8,260000,793100
Mongolia,1.9,8.3,50000,600500
Syria,3.9,15.2,735000,4833300
Qatar,19.2,64,520100,812900
Uzbekistan,1.5,4.6,1200000,26167400
China,4.9,3.1,4.00E+07,1304500000
Azerbaijan,3.5,8,290000,3626000
Latvia,19,12.2,280000,2300500
Congo,2.7,5.6,1.00E+05,1794800
Ivory Coast,2.4,4.7,4.00E+05,8527800
Iran,7.3,5.1,3500000,68251100
Saudi Arabia,35,26,6.00E+06,23119000
Algeria,7.6,5.8,1900000,32853800
Vietnam,1.7,1.3,1100000,83119000
Honduras,6.2,6.9,5.00E+05,7204800
Cameroon,2.8,2.6,340000,13228500
Czech Republic,16.3,15.6,1600000,10234100
Norway,31.3,30.3,1400000,4623300
Gabon,14,13.7,190000,1383900
Sweden,31.6,31,2800000,9024100
Hungary,5.5,5.6,560000,10087100
Angola,17.3,17.6,2800000,15941400
Kenya,6.4,6.3,740000,11658200
England & Wales,6.2,6.3,3400000,53728900
Namibia,12.6,12.8,260000,2031300
Maldives,6.5,6.4,21000,329200
Croatia,21.7,21.4,950000,4443400
Israel,7.3,7.2,5.00E+05,6923600
Mauritius,14.7,14.5,180000,1243300
Georgia,7.3,7.4,330000,4474400
Slovakia,8.3,8.4,450000,5387000
Ireland,8.6,8.7,360000,4159100
Zambia,8.9,9,230000,2554000
Estonia,9.2,9.1,123000,1346100
Belize,10,9.9,29000,291800
Finland,45.3,45.7,2400000,5246100
Armenia,12.5,12.6,380000,3016400
Libya,15.5,15.4,9.00E+05,5853500
Northern Ireland,21.9,21.8,380000,1741600
Oman,25.4,25.3,650000,2567000
Cyprus,36.4,36.3,275000,757800
United States of America,88.8,88.8,2.70E+08,304201200
Yemen,54.8,54.8,11500000,20974700
Switzerland,45.7,45.7,3400000,7437100
Serbia,37.8,37.8,3050000,8064300
Iraq,34.2,34.2,9750000,28505900
Uruguay,31.8,31.8,1100000,3463200
France,31.2,31.2,1.90E+07,60873000
Canada,30.8,30.8,9950000,32299000
Austria,30.4,30.4,2500000,8233300
Germany,30.3,30.3,2.50E+07,82469400
Iceland,30.3,30.3,90000,296800
Bahrain,24.8,24.8,180000,726700
Kuwait,24.8,24.8,630000,2535500
Macedonia,24.1,24.1,490000,2034100
Montenegro,23.1,23.1,150000,650000
New Zealand,22.6,22.6,925000,4098900
Greece,22.5,22.5,2500000,11104000
UAE,22.1,22.1,1.00E+06,4533200
Panama,21.7,21.7,7.00E+05,3231500
Lebanon,21,21,750000,3576900
Equatorial Guinea,19.9,19.9,1.00E+05,503600
Kosovo,19.5,19.5,415000,2126700
Peru,18.8,18.8,750000,3998900
Belgium,17.2,17.2,1800000,10478700
Bosnia-Herzegovina,17.3,17.3,675000,3907100
Paraguay,17,17,1.00E+06,5898700
Thailand,15.6,15.6,1.00E+07,64232800
Luxemborg,15.3,15.3,70000,456700
Australia,15,15,3050000,20329000
Mexico,15,15,15500000,103089200
Guyana,14.6,14.6,110000,751300
Slovenia,13.5,13.5,270000,2000500
Suriname,13.4,13.4,60000,449300
Guatemala,13.1,13.1,1650000,12599100
South Africa,12.7,12.7,5950000,46888200
Turkey,12.5,12.5,9.00E+06,72065000
Denmark,12,12,650000,5416000
Italy,11.9,11.9,7.00E+06,58607100
Malta,11.9,11.9,48000,403500
Pakistan,11.6,11.6,1.80E+07,155772000
Jordan,11.5,11.5,630000,5473000
Chile,10.7,10.7,1750000,16295100
Venezuela,10.7,10.7,2850000,26577000
Spain,10.4,10.4,4500000,43398200
Argentina,10.2,10.2,3950000,38747200
Costa Rica,9.9,9.9,430000,4327300
Somalia,9.1,9.1,750000,8227900
Transdniester,9.1,9.1,48500,533500
Russia,8.9,8.9,12750000,143113700
Albania,8.6,8.6,270000,3130000
Portugal,8.5,8.5,9.00E+05,10549500
Jamaica,8.1,8.1,215000,2654500
Brazil,8,8,14840000,186405000
Barbados,7.8,7.8,21000,269600
Nicaragua,7.7,7.7,395000,5149400
Belarus,7.3,7.3,710000,9775600
Moldova,7.1,7.1,3.00E+05,4205800
Ukraine,6.6,6.6,3100000,47075300
Swaziland,6.4,6.4,72000,1131000
Bulgaria,6.2,6.2,480000,7740000
Colombia,5.9,5.9,2700000,45600300
El Salvador,5.8,5.8,4.00E+05,6881000
Scotland,5.5,5.5,280000,5116900
Sudan,5.5,5.5,2.00E+06,36233000
Seychelles,5.4,5.4,4600,84500
Bahamas,5.3,5.3,17000,323100
Dominican Republic,5.1,5.1,450000,8894900
Mozambique,5.1,5.1,1.00E+06,19792300
Morocco,5,5,1500000,30168100
Botswana,4.9,4.9,87000,1765000
Cuba,4.8,4.8,545000,11269400
Philippines,4.7,4.7,3900000,83054500
Afghanistan,4.4,4.4,1.00E+06,22877000
Taiwan,4.4,4.4,725000,16319900
Zimbabwe,4.4,4.4,4.00E+05,9182000
Cambodia,4.3,4.3,6.00E+05,14071000
India,4.2,4.2,4.60E+07,1094583000
Myanmar,4,4,2.00E+06,50519500
Netherlands,3.9,3.9,510000,13009600
Senegal,2,2,230000,11668500
Guinea-Bissau,1.6,1.6,25000,1586400
Liberia,1.6,1.6,51000,3283300
Mauritania,1.6,1.6,50000,3068800
Trinidad & Tobago,1.6,1.6,21000,1305300
Malaysia,1.5,1.5,370000,25347400
Nigeria,1.5,1.5,2.00E+06,135700000
Sri Lanka,1.5,1.5,3.00E+05,19625400
Benin,1.4,1.4,120000,8438900
Brunei,1.4,1.4,5400,373900
Democratic Republic of C,1.4,1.4,8.00E+05,57548800
Tanzania,1.4,1.4,550000,38328800
Uganda,1.4,1.4,4.00E+05,28816300
Ecuador,1.3,1.3,370000,27968300
Kazakhstan,1.3,1.3,2.00E+05,15146100
Poland,1.3,1.3,510000,38165500
Burundi,1.2,1.2,2.00E+05,16800000
Guinea,1.2,1.2,110000,9402100
Laos,1.2,1.2,71000,5924200
Papua New Guinea,1.2,1.2,71000,5887200
Burkina Faso,1.1,1.1,148000,13227900
Chad,1.1,1.1,109000,9749000
"Korea, South",1.1,1.1,510000,48294200
Mali,1.1,1.1,143000,13518500
Central African Republic,1,1,40000,4037800
Tajikistan,1,1,65000,6506100
Togo,1,1,60000,6145000
Kyrgyzstan,0.9,0.9,45000,5143500
Gambia,0.8,0.8,123000,15171000
Madegascar,0.8,0.8,150000,18606000
Nepal,0.8,0.8,205000,27132700
Lithuania,0.7,0.7,135000,19043400
Malawi,0.7,0.7,92000,12884000
Niger,0.7,0.7,93000,13957000
Romania,0.7,0.7,160000,21634400
Haiti,0.6,0.6,190000,34255800
Japan,0.6,0.6,710000,127565000
"Korea, North",0.6,0.6,130000,22487700
Rwanda,0.6,0.6,58000,9037700
Sierra Leone,0.6,0.6,34000,5525500
Bangladesh,0.5,0.5,7.00E+05,141822300
Eritrea,0.5,0.5,20000,4401400
Fiji,0.5,0.5,4000,847700
Indonesia,0.5,0.5,1.00E+06,220558000
Singapore,0.5,0.5,22000,4341800
Ethiopia,0.4,0.4,320000,71256000
Ghana,0.4,0.4,80000,22112800
Solomon Islands,0.4,0.4,1800,477800
East Timor,0.3,0.3,3000,950000
Tunisia,0.1,0.1,9000,10029000
